dataset,mixture_1,mixture_2,experimental_values,a,b,num_compound_a,num_compound_b,diff_mixture_size,overlap_percent,angle_dist
Snitz 1,9,4,0.42447917,7410;6501;264;5281515;6259976;307;7685;326;5283349;7749;7363;7888;7119;8635;8918;6736;8030;5634;7921;1183,31276;93009;11002;323;7966;8148;7632;22201;19310;7762;2758;3314;460;443158;20859;7059;999;6544;7770;10430,20,20,0,0,0.034907573
Snitz 1,9,5,0.390625,7410;6501;264;5281515;6259976;307;7685;326;5283349;7749;7363;7888;7119;8635;8918;6736;8030;5634;7921;1183,10890;93009;11002;6982;323;8797;7966;8148;7632;31252;19310;7762;3314;460;6184;8892;8103;12178;5281168;798;443158;20859;7059;91497;999;10821;6544;7770;7714;10430,20,30,10,0,0.01925409
Snitz 1,9,6,0.44791667,7410;6501;264;5281515;6259976;307;7685;326;5283349;7749;7363;7888;7119;8635;8918;6736;8030;5634;7921;1183,7710;31276;10890;240;93009;11002;6982;323;8797;7966;8148;24915;7632;22201;31252;19310;7762;26331;2758;3314;460;8130;6184;8892;8103;12178;5281168;798;443158;20859;7059;62444;91497;999;10821;6054;6544;7770;7714;10430,20,40,20,0,0.022386405
Snitz 1,9,7,0.61979167,7410;6501;264;5281515;6259976;307;7685;326;5283349;7749;7363;7888;7119;8635;8918;6736;8030;5634;7921;1183,93009;460;443158;6544,20,4,16,0,0.062466332
Snitz 1,10,2,0.56770833,7410;6501;7600;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;7888;61016;8635;8918;957;7991;61138;6654;8118;6736;10722;1140;7410;14286;6501;7600;62433;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;62336;7888;61016;16666;7119;8635;8918;957;18827;1183,240;93009;323;8148;7762;3314;460;6184;798;6054,58,10,48,0,0.02580494
Snitz 1,10,3,0.65104167,7410;6501;7600;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;7888;61016;8635;8918;957;7991;61138;6654;8118;6736;10722;1140;7410;14286;6501;7600;62433;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;62336;7888;61016;16666;7119;8635;8918;957;18827;1183,7710,58,1,57,0,0.021759311
Snitz 1,10,4,0.54166667,7410;6501;7600;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;7888;61016;8635;8918;957;7991;61138;6654;8118;6736;10722;1140;7410;14286;6501;7600;62433;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;62336;7888;61016;16666;7119;8635;8918;957;18827;1183,31276;93009;11002;323;7966;8148;7632;22201;19310;7762;2758;3314;460;443158;20859;7059;999;6544;7770;10430,58,20,38,0,0.025233748
Snitz 1,10,5,0.36979167,7410;6501;7600;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;7888;61016;8635;8918;957;7991;61138;6654;8118;6736;10722;1140;7410;14286;6501;7600;62433;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;62336;7888;61016;16666;7119;8635;8918;957;18827;1183,10890;93009;11002;6982;323;8797;7966;8148;7632;31252;19310;7762;3314;460;6184;8892;8103;12178;5281168;798;443158;20859;7059;91497;999;10821;6544;7770;7714;10430,58,30,28,0,0.010995731
Snitz 1,10,6,0.41145833,7410;6501;7600;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;7888;61016;8635;8918;957;7991;61138;6654;8118;6736;10722;1140;7410;14286;6501;7600;62433;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;62336;7888;61016;16666;7119;8635;8918;957;18827;1183,7710;31276;10890;240;93009;11002;6982;323;8797;7966;8148;24915;7632;22201;31252;19310;7762;26331;2758;3314;460;8130;6184;8892;8103;12178;5281168;798;443158;20859;7059;62444;91497;999;10821;6054;6544;7770;7714;10430,58,40,18,0,0.011711845
Snitz 1,10,7,0.45833333,7410;6501;7600;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;7888;61016;8635;8918;957;7991;61138;6654;8118;6736;10722;1140;7410;14286;6501;7600;62433;7519;264;5281515;6259976;307;2879;7685;7731;326;5283349;7583;7749;7363;8129;62336;7888;61016;16666;7119;8635;8918;957;18827;1183,93009;460;443158;6544,58,4,54,0,0.061539472
Snitz 1,11,2,0.51041667,7991;61138;6654;8118;6736;8030;6989;10722;1140;5634;7921;1183,240;93009;323;8148;7762;3314;460;6184;798;6054,12,10,2,0,0.034509155
Snitz 1,11,3,0.71354167,7991;61138;6654;8118;6736;8030;6989;10722;1140;5634;7921;1183,7710,12,1,11,0,0.053484046
Snitz 1,11,4,0.46875,7991;61138;6654;8118;6736;8030;6989;10722;1140;5634;7921;1183,31276;93009;11002;323;7966;8148;7632;22201;19310;7762;2758;3314;460;443158;20859;7059;999;6544;7770;10430,12,20,8,0,0.025210172
Snitz 1,11,5,0.34375,7991;61138;6654;8118;6736;8030;6989;10722;1140;5634;7921;1183,10890;93009;11002;6982;323;8797;7966;8148;7632;31252;19310;7762;3314;460;6184;8892;8103;12178;5281168;798;443158;20859;7059;91497;999;10821;6544;7770;7714;10430,12,30,18,0,0.036855831
Snitz 1,11,6,0.38020833,7991;61138;6654;8118;6736;8030;6989;10722;1140;5634;7921;1183,7710;31276;10890;240;93009;11002;6982;323;8797;7966;8148;24915;7632;22201;31252;19310;7762;26331;2758;3314;460;8130;6184;8892;8103;12178;5281168;798;443158;20859;7059;62444;91497;999;10821;6054;6544;7770;7714;10430,12,40,28,0,0.034234479
Snitz 1,11,7,0.55208333,7991;61138;6654;8118;6736;8030;6989;10722;1140;5634;7921;1183,93009;460;443158;6544,12,4,8,0,0.061267868
Snitz 1,12,2,0.77083333,7731;7749;7888;1183,240;93009;323;8148;7762;3314;460;6184;798;6054,4,10,6,0,0.0485678
Snitz 1,12,3,0.765625,7731;7749;7888;1183,7710,4,1,3,0,0.046755502
Snitz 1,12,4,0.69791667,7731;7749;7888;1183,31276;93009;11002;323;7966;8148;7632;22201;19310;7762;2758;3314;460;443158;20859;7059;999;6544;7770;10430,4,20,16,0,0.024560354
Snitz 1,12,5,0.68229167,7731;7749;7888;1183,10890;93009;11002;6982;323;8797;7966;8148;7632;31252;19310;7762;3314;460;6184;8892;8103;12178;5281168;798;443158;20859;7059;91497;999;10821;6544;7770;7714;10430,4,30,26,0,0.039156042
Snitz 1,12,6,0.63020833,7731;7749;7888;1183,7710;31276;10890;240;93009;11002;6982;323;8797;7966;8148;24915;7632;22201;31252;19310;7762;26331;2758;3314;460;8130;6184;8892;8103;12178;5281168;798;443158;20859;7059;62444;91497;999;10821;6054;6544;7770;7714;10430,4,40,36,0,0.035893899
Snitz 1,12,7,0.7109375,7731;7749;7888;1183,93009;460;443158;6544,4,4,0,0,0.059198456
Snitz 1,13,14,0.75480769,22201;7749;460;61016;7119;61138;999;10821;6054;6544,323;7762;7363;7888;16666;8635;7059;7991;6736;8030,10,10,0,0,0.026110555
Snitz 1,13,15,0.70192308,22201;7749;460;61016;7119;61138;999;10821;6054;6544,7059,10,1,9,0,0.110721091
Snitz 1,13,16,0.70673077,22201;7749;460;61016;7119;61138;999;10821;6054;6544,10890;7519;323;7583;7762;26331;8892;7888;443158;16666;8635;91497;8918;957;18827;8118;8030;6989;5634;10430,10,20,10,0,0.047424179
Snitz 1,13,17,0.58173077,22201;7749;460;61016;7119;61138;999;10821;6054;6544,14286;31276;7600;7519;11002;6982;307;323;5283349;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;91497;957;18827;7770;6736;8030;6989;10722;5634;10430,10,30,20,0,0.040164048
Snitz 1,13,18,0.56730769,22201;7749;460;61016;7119;61138;999;10821;6054;6544,14286;7710;31276;10890;7600;7519;11002;6982;307;323;2879;7731;5283349;7583;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;62444;91497;8918;957;18827;7991;7770;8118;6736;8030;6989;10722;5634;10430;7921,10,40,30,0,0.037462695
Snitz 1,13,19,0.82211538,22201;7749;460;61016;7119;61138;999;10821;6054;6544,7731;8892;7888;7059,10,4,6,0,0.031135784
Snitz 1,20,14,0.71153846,62336,323;7762;7363;7888;16666;8635;7059;7991;6736;8030,1,10,9,0,0.050545545
Snitz 1,20,15,0.53365385,62336,7059,1,1,0,0,0.098038251
Snitz 1,20,16,0.75480769,62336,10890;7519;323;7583;7762;26331;8892;7888;443158;16666;8635;91497;8918;957;18827;8118;8030;6989;5634;10430,1,20,19,0,0.037709658
Snitz 1,20,17,0.77403846,62336,14286;31276;7600;7519;11002;6982;307;323;5283349;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;91497;957;18827;7770;6736;8030;6989;10722;5634;10430,1,30,29,0,0.04037857
Snitz 1,20,18,0.72115385,62336,14286;7710;31276;10890;7600;7519;11002;6982;307;323;2879;7731;5283349;7583;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;62444;91497;8918;957;18827;7991;7770;8118;6736;8030;6989;10722;5634;10430;7921,1,40,39,0,0.045602728
Snitz 1,20,19,0.53365385,62336,7731;8892;7888;7059,1,4,3,0,0.052804625
Snitz 1,21,14,0.73557692,6501;264;6259976;8797;7685;7632;22201;2758;460;8129;5281168;62336;798;61016;20859;61138;10821;6054;1140;1183,323;7762;7363;7888;16666;8635;7059;7991;6736;8030,20,10,10,0,0.020880913
Snitz 1,21,15,0.71153846,6501;264;6259976;8797;7685;7632;22201;2758;460;8129;5281168;62336;798;61016;20859;61138;10821;6054;1140;1183,7059,20,1,19,0,0.104261524
Snitz 1,21,16,0.57211538,6501;264;6259976;8797;7685;7632;22201;2758;460;8129;5281168;62336;798;61016;20859;61138;10821;6054;1140;1183,10890;7519;323;7583;7762;26331;8892;7888;443158;16666;8635;91497;8918;957;18827;8118;8030;6989;5634;10430,20,20,0,0,0.030716383
Snitz 1,21,17,0.51442308,6501;264;6259976;8797;7685;7632;22201;2758;460;8129;5281168;62336;798;61016;20859;61138;10821;6054;1140;1183,14286;31276;7600;7519;11002;6982;307;323;5283349;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;91497;957;18827;7770;6736;8030;6989;10722;5634;10430,20,30,10,0,0.023975234
Snitz 1,21,18,0.53365385,6501;264;6259976;8797;7685;7632;22201;2758;460;8129;5281168;62336;798;61016;20859;61138;10821;6054;1140;1183,14286;7710;31276;10890;7600;7519;11002;6982;307;323;2879;7731;5283349;7583;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;62444;91497;8918;957;18827;7991;7770;8118;6736;8030;6989;10722;5634;10430;7921,20,40,20,0,0.022014149
Snitz 1,21,19,0.68269231,6501;264;6259976;8797;7685;7632;22201;2758;460;8129;5281168;62336;798;61016;20859;61138;10821;6054;1140;1183,7731;8892;7888;7059,20,4,16,0,0.021869417
Snitz 1,22,14,0.73557692,6501;62433;264;5281515;7685;326;7966;8148;24915;7632;22201;31252;19310;2758;8130;8129;6184;12178;798;61016;7119;20859;999;10821;6054;6544;6654;1140;7714;1183,323;7762;7363;7888;16666;8635;7059;7991;6736;8030,30,10,20,0,0.027844815
Snitz 1,22,15,0.68269231,6501;62433;264;5281515;7685;326;7966;8148;24915;7632;22201;31252;19310;2758;8130;8129;6184;12178;798;61016;7119;20859;999;10821;6054;6544;6654;1140;7714;1183,7059,30,1,29,0,0.10904173
Snitz 1,22,16,0.45192308,6501;62433;264;5281515;7685;326;7966;8148;24915;7632;22201;31252;19310;2758;8130;8129;6184;12178;798;61016;7119;20859;999;10821;6054;6544;6654;1140;7714;1183,10890;7519;323;7583;7762;26331;8892;7888;443158;16666;8635;91497;8918;957;18827;8118;8030;6989;5634;10430,30,20,10,0,0.025041618
Snitz 1,22,17,0.42788462,6501;62433;264;5281515;7685;326;7966;8148;24915;7632;22201;31252;19310;2758;8130;8129;6184;12178;798;61016;7119;20859;999;10821;6054;6544;6654;1140;7714;1183,14286;31276;7600;7519;11002;6982;307;323;5283349;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;91497;957;18827;7770;6736;8030;6989;10722;5634;10430,30,30,0,0,0.021579196
Snitz 1,22,18,0.5,6501;62433;264;5281515;7685;326;7966;8148;24915;7632;22201;31252;19310;2758;8130;8129;6184;12178;798;61016;7119;20859;999;10821;6054;6544;6654;1140;7714;1183,14286;7710;31276;10890;7600;7519;11002;6982;307;323;2879;7731;5283349;7583;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;62444;91497;8918;957;18827;7991;7770;8118;6736;8030;6989;10722;5634;10430;7921,30,40,10,0,0.018834579
Snitz 1,22,19,0.79326923,6501;62433;264;5281515;7685;326;7966;8148;24915;7632;22201;31252;19310;2758;8130;8129;6184;12178;798;61016;7119;20859;999;10821;6054;6544;6654;1140;7714;1183,7731;8892;7888;7059,30,4,26,0,0.022073626
Snitz 1,23,14,0.75480769,7410;6501;62433;240;93009;264;5281515;6259976;8797;7685;326;7966;8148;24915;7632;22201;31252;19310;7749;2758;460;8130;8129;6184;12178;5281168;62336;798;61016;7119;20859;61138;999;10821;6054;6544;6654;1140;7714;1183,323;7762;7363;7888;16666;8635;7059;7991;6736;8030,40,10,30,0,0.025477283
Snitz 1,23,15,0.67307692,7410;6501;62433;240;93009;264;5281515;6259976;8797;7685;326;7966;8148;24915;7632;22201;31252;19310;7749;2758;460;8130;8129;6184;12178;5281168;62336;798;61016;7119;20859;61138;999;10821;6054;6544;6654;1140;7714;1183,7059,40,1,39,0,0.107669406
Snitz 1,23,16,0.5,7410;6501;62433;240;93009;264;5281515;6259976;8797;7685;326;7966;8148;24915;7632;22201;31252;19310;7749;2758;460;8130;8129;6184;12178;5281168;62336;798;61016;7119;20859;61138;999;10821;6054;6544;6654;1140;7714;1183,10890;7519;323;7583;7762;26331;8892;7888;443158;16666;8635;91497;8918;957;18827;8118;8030;6989;5634;10430,40,20,20,0,0.026394445
Snitz 1,23,17,0.45192308,7410;6501;62433;240;93009;264;5281515;6259976;8797;7685;326;7966;8148;24915;7632;22201;31252;19310;7749;2758;460;8130;8129;6184;12178;5281168;62336;798;61016;7119;20859;61138;999;10821;6054;6544;6654;1140;7714;1183,14286;31276;7600;7519;11002;6982;307;323;5283349;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;91497;957;18827;7770;6736;8030;6989;10722;5634;10430,40,30,10,0,0.02208049
Snitz 1,23,18,0.41826923,7410;6501;62433;240;93009;264;5281515;6259976;8797;7685;326;7966;8148;24915;7632;22201;31252;19310;7749;2758;460;8130;8129;6184;12178;5281168;62336;798;61016;7119;20859;61138;999;10821;6054;6544;6654;1140;7714;1183,14286;7710;31276;10890;7600;7519;11002;6982;307;323;2879;7731;5283349;7583;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;62444;91497;8918;957;18827;7991;7770;8118;6736;8030;6989;10722;5634;10430;7921,40,40,0,0,0.019993254
Snitz 1,23,19,0.77884615,7410;6501;62433;240;93009;264;5281515;6259976;8797;7685;326;7966;8148;24915;7632;22201;31252;19310;7749;2758;460;8130;8129;6184;12178;5281168;62336;798;61016;7119;20859;61138;999;10821;6054;6544;6654;1140;7714;1183,7731;8892;7888;7059,40,4,36,0,0.022364722
Snitz 1,24,14,0.77884615,7749;61138;6054;6544,323;7762;7363;7888;16666;8635;7059;7991;6736;8030,4,10,6,0,0.068942962
Snitz 1,24,15,0.70192308,7749;61138;6054;6544,7059,4,1,3,0,0.155476708
Snitz 1,24,16,0.73557692,7749;61138;6054;6544,10890;7519;323;7583;7762;26331;8892;7888;443158;16666;8635;91497;8918;957;18827;8118;8030;6989;5634;10430,4,20,16,0,0.082089885
Snitz 1,24,17,0.74519231,7749;61138;6054;6544,14286;31276;7600;7519;11002;6982;307;323;5283349;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;91497;957;18827;7770;6736;8030;6989;10722;5634;10430,4,30,26,0,0.079079988
Snitz 1,24,18,0.77884615,7749;61138;6054;6544,14286;7710;31276;10890;7600;7519;11002;6982;307;323;2879;7731;5283349;7583;7762;26331;3314;7363;8892;8103;7888;443158;16666;8635;7059;62444;91497;8918;957;18827;7991;7770;8118;6736;8030;6989;10722;5634;10430;7921,4,40,36,0,0.073904576
Snitz 1,24,19,0.67788462,7749;61138;6054;6544,7731;8892;7888;7059,4,4,0,0,0.068128083
Snitz 1,25,26,0.71153846,7600;62433;307;5283349;443158;8635;8918;999;6736;10722,7410;10890;7519;7685;24915;26331;8129;16666;7770;10430,10,10,0,0,0.054139085
Snitz 1,25,27,0.72115385,7600;62433;307;5283349;443158;8635;8918;999;6736;10722,7714,10,1,9,0,0.040163519
Snitz 1,25,28,0.62980769,7600;62433;307;5283349;443158;8635;8918;999;6736;10722,7410;10890;93009;6259976;2879;8797;7685;24915;8103;5281168;7888;16666;18827;7991;6054;6654;7770;8030;5634;10430,10,20,10,0,0.047629822
Snitz 1,25,29,0.67307692,7600;62433;307;5283349;443158;8635;8918;999;6736;10722,7410;10890;93009;11002;8797;7685;7731;7966;24915;7583;26331;5281168;7888;798;61016;16666;7119;20859;18827;7991;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,10,30,20,0,0.041593489
Snitz 1,25,30,0.66346154,7600;62433;307;5283349;443158;8635;8918;999;6736;10722,7410;10890;7519;93009;11002;6259976;323;2879;8797;7685;7731;326;7966;24915;31252;7583;26331;460;8129;8103;5281168;7888;798;61016;16666;7119;20859;18827;7991;10821;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,10,40,30,0,0.044144439
Snitz 1,25,31,0.61057692,7600;62433;307;5283349;443158;8635;8918;999;6736;10722,5281168;10890;2879;7966,10,4,6,0,0.095880971
Snitz 1,32,26,0.8125,31276,7410;10890;7519;7685;24915;26331;8129;16666;7770;10430,1,10,9,0,0.079994846
Snitz 1,32,27,0.72115385,31276,7714,1,1,0,0,0.1118784
Snitz 1,32,28,0.79326923,31276,7410;10890;93009;6259976;2879;8797;7685;24915;8103;5281168;7888;16666;18827;7991;6054;6654;7770;8030;5634;10430,1,20,19,0,0.092203916
Snitz 1,32,29,0.61057692,31276,7410;10890;93009;11002;8797;7685;7731;7966;24915;7583;26331;5281168;7888;798;61016;16666;7119;20859;18827;7991;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,1,30,29,0,0.096326225
Snitz 1,32,30,0.74038462,31276,7410;10890;7519;93009;11002;6259976;323;2879;8797;7685;7731;326;7966;24915;31252;7583;26331;460;8129;8103;5281168;7888;798;61016;16666;7119;20859;18827;7991;10821;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,1,40,39,0,0.09642637
Snitz 1,32,31,0.75480769,31276,5281168;10890;2879;7966,1,4,3,0,0.055367898
Snitz 1,33,26,0.68269231,14286;7710;31276;7600;5281515;6982;5283349;7632;7762;3314;6184;443158;91497;8918;957;61138;999;6544;6989;7921,7410;10890;7519;7685;24915;26331;8129;16666;7770;10430,20,10,10,0,0.048369042
Snitz 1,33,27,0.61538462,14286;7710;31276;7600;5281515;6982;5283349;7632;7762;3314;6184;443158;91497;8918;957;61138;999;6544;6989;7921,7714,20,1,19,0,0.043889319
Snitz 1,33,28,0.73557692,14286;7710;31276;7600;5281515;6982;5283349;7632;7762;3314;6184;443158;91497;8918;957;61138;999;6544;6989;7921,7410;10890;93009;6259976;2879;8797;7685;24915;8103;5281168;7888;16666;18827;7991;6054;6654;7770;8030;5634;10430,20,20,0,0,0.037925201
Snitz 1,33,29,0.53365385,14286;7710;31276;7600;5281515;6982;5283349;7632;7762;3314;6184;443158;91497;8918;957;61138;999;6544;6989;7921,7410;10890;93009;11002;8797;7685;7731;7966;24915;7583;26331;5281168;7888;798;61016;16666;7119;20859;18827;7991;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,20,30,10,0,0.035040107
Snitz 1,33,30,0.51923077,14286;7710;31276;7600;5281515;6982;5283349;7632;7762;3314;6184;443158;91497;8918;957;61138;999;6544;6989;7921,7410;10890;7519;93009;11002;6259976;323;2879;8797;7685;7731;326;7966;24915;31252;7583;26331;460;8129;8103;5281168;7888;798;61016;16666;7119;20859;18827;7991;10821;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,20,40,20,0,0.037733275
Snitz 1,33,31,0.72596154,14286;7710;31276;7600;5281515;6982;5283349;7632;7762;3314;6184;443158;91497;8918;957;61138;999;6544;6989;7921,5281168;10890;2879;7966,20,4,16,0,0.092273832
Snitz 1,34,26,0.65865385,14286;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;7632;22201;19310;7749;2758;3314;6184;8892;443158;7059;91497;8918;957;61138;6544;6736;6989;10722;7921,7410;10890;7519;7685;24915;26331;8129;16666;7770;10430,30,10,20,0,0.043657505
Snitz 1,34,27,0.63461538,14286;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;7632;22201;19310;7749;2758;3314;6184;8892;443158;7059;91497;8918;957;61138;6544;6736;6989;10722;7921,7714,30,1,29,0,0.04641322
Snitz 1,34,28,0.69230769,14286;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;7632;22201;19310;7749;2758;3314;6184;8892;443158;7059;91497;8918;957;61138;6544;6736;6989;10722;7921,7410;10890;93009;6259976;2879;8797;7685;24915;8103;5281168;7888;16666;18827;7991;6054;6654;7770;8030;5634;10430,30,20,10,0,0.03111603
Snitz 1,34,29,0.52403846,14286;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;7632;22201;19310;7749;2758;3314;6184;8892;443158;7059;91497;8918;957;61138;6544;6736;6989;10722;7921,7410;10890;93009;11002;8797;7685;7731;7966;24915;7583;26331;5281168;7888;798;61016;16666;7119;20859;18827;7991;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,30,30,0,0,0.025446505
Snitz 1,34,30,0.45673077,14286;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;7632;22201;19310;7749;2758;3314;6184;8892;443158;7059;91497;8918;957;61138;6544;6736;6989;10722;7921,7410;10890;7519;93009;11002;6259976;323;2879;8797;7685;7731;326;7966;24915;31252;7583;26331;460;8129;8103;5281168;7888;798;61016;16666;7119;20859;18827;7991;10821;6054;6654;7770;8118;8030;1140;7714;5634;10430;1183,30,40,10,0,0.027120397
Snitz 1,34,31,0.69230769,14286;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;7632;22201;19310;7749;2758;3314;6184;8892;443158;7059;91497;8918;957;61138;6544;6736;6989;10722;7921,5281168;10890;2879;7966,30,4,26,0,0.087326118
Snitz 1,35,26,0.73557692,14286;6501;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;8148;7632;22201;19310;7762;7749;2758;3314;7363;8130;6184;8892;12178;62336;443158;8635;7059;62444;91497;8918;957;61138;999;6544;6736;6989;10722;7921,7410;10890;7519;7685;24915;26331;8129;16666;7770;10430,40,10,30,0,0.037228172
Snitz 1,35,27,0.65384615,14286;6501;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;8148;7632;22201;19310;7762;7749;2758;3314;7363;8130;6184;8892;12178;62336;443158;8635;7059;62444;91497;8918;957;61138;999;6544;6736;6989;10722;7921,7714,40,1,39,0,0.046504251
Snitz 1,35,28,0.67307692,14286;6501;7710;31276;7600;62433;240;264;5281515;6982;307;5283349;8148;7632;22201;19310;7762;7749;2758;3314;7363;8130;6184;8892;12178;62336;443158;8635;7059;62444;91497;8918;957;61138;999;6544;6736;6989;10722;7921,7410;10890;93009;6259976;2879;8797;7685;24915;8103;5281168;7888;16666;18827;7991;6054;6654;7770;8030;5634;10430,40,20,20,0,0.024391403
